"filename", "language", "TypeScript", "JSON", "JavaScript", "HTML", "Markdown", "Vue", "SCSS", "CSS", "comment", "blank", "total"
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\components\UserAvatar.vue", "Vue", 0, 0, 0, 0, 0, 36, 0, 0, 0, 7, 43
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\css\animate.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 2, 7, 2, 11
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\main.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 1, 10, 39
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\router\index.js", "JavaScript", 0, 0, 64, 0, 0, 0, 0, 0, 5, 5, 74
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\scss\_aside.scss", "SCSS", 0, 0, 0, 0, 0, 0, 151, 0, 0, 19, 170
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\scss\_card.scss", "SCSS", 0, 0, 0, 0, 0, 0, 41, 0, 0, 8, 49
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\scss\_dark-mode.scss", "SCSS", 0, 0, 0, 0, 0, 0, 321, 0, 0, 75, 396
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\scss\_footer.scss", "SCSS", 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\scss\_form.scss", "SCSS", 0, 0, 0, 0, 0, 0, 78, 0, 0, 12, 90
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\scss\_hero-bar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 28, 0, 0, 7, 35
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\scss\_main-section.scss", "SCSS", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\scss\_misc.scss", "SCSS", 0, 0, 0, 0, 0, 0, 25, 0, 0, 5, 30
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\scss\_mixins.scss", "SCSS", 0, 0, 0, 0, 0, 0, 11, 0, 0, 3, 14
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\scss\_modal.scss", "SCSS", 0, 0, 0, 0, 0, 0, 27, 0, 0, 6, 33
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\scss\_nav-bar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 106, 0, 0, 21, 127
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\scss\_table.scss", "SCSS", 0, 0, 0, 0, 0, 0, 137, 0, 1, 21, 159
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\scss\_theme-default.scss", "SCSS", 0, 0, 0, 0, 0, 0, 96, 0, 28, 27, 151
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\scss\_tiles.scss", "SCSS", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\scss\_title-bar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 25, 0, 0, 5, 30
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\scss\libs\_all.scss", "SCSS", 0, 0, 0, 0, 0, 0, 6, 0, 4, 3, 13
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\scss\main.scss", "SCSS", 0, 0, 0, 0, 0, 0, 17, 0, 5, 5, 27
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\store\index.js", "JavaScript", 0, 0, 71, 0, 0, 0, 0, 0, 8, 15, 94
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\views\Auth.vue", "Vue", 0, 0, 0, 0, 0, 91, 0, 0, 0, 3, 94
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\views\ClientForm.vue", "Vue", 0, 0, 0, 0, 0, 212, 0, 0, 0, 10, 222
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\views\CouponPage.vue", "Vue", 0, 0, 0, 0, 0, 49, 0, 0, 0, 4, 53
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\views\Forms.vue", "Vue", 0, 0, 0, 0, 0, 140, 0, 0, 0, 5, 145
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\views\Home.vue", "Vue", 0, 0, 0, 0, 0, 77, 0, 0, 0, 4, 81
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\views\Profile.vue", "Vue", 0, 0, 0, 0, 0, 54, 0, 0, 0, 3, 57
"c:\Users\victor.back\Desktop\dojnaz-coupons\ui\src\views\Tables.vue", "Vue", 0, 0, 0, 0, 0, 61, 0, 0, 0, 11, 72
"Total", "-", 71, 74, 332, 17, 15, 2050, 1093, 2, 92, 400, 4146
